month,aus_population_natural_increase,aus_population_overseas_arrivals,aus_population_net overseas migration,aus_population_estimated resident population,aus_beef&veal_slaughterings,aus_beef&veal_average weight,aus_beef&veal_production,aus_beef&veal_exports,aus_apparent consumption,australia cattle numbers,aus_total dairy cattle and calves,aus_total beef cattle and calves,"aus_exports of beef, veal and live cattle to US","Value of Australian exports of beef and veal, and live cattle to US ",us import of beef kt (cw),aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Original (tonnes),aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Seasonally adjusted (tonnes),aus_Meat Produced ;  CALVES ;  Total (State) ;,aus_Meat Produced ;  CALVES ;  Total (State) ; Seasonally Adjusted,aus_labour,aus_feed,aus_pasture,aus_tse,aus_pse,aus_cse,aus_fed_rd,aus_state_rd,aus_uni_rd,aus_min_temp,aus_max_temp,aus_avg_rainfall,us cattle numbers(*1000),us beef Per Capita Consumption,us_total red meat,us_total red meat and poultry,us_population,us_income per capita,us_production_commercial_beef,us_production_commercial_veal,us_production_commercial_total red meat,us_production_fedral_inspected_beef,us_production_fedral_inspected_veal,us_production_fedral_inspected_total red meat,us_production_fedral_inspected_total poultry,us_production_fedral_inspected_total red meat and poultry,us_livestock_commercial_cattle,us_livestock_commercial_steers,us_livestock_commercial_heifers,us_livestock_commercial_beef,us_livestock_commercial_dairy,us_livestock_commercial_bulls and stags,us_livestock_commercial_calves,us_livestock_commercial_lambs and yearlings,us_livestock_commercial_mature sheep,us_livestock_fedral_inspected_cattle,us_livestock_fedral_inspected_steers,us_livestock_fedral_inspected_heifers,us_livestock_fedral_inspected_beef,us_livestock_fedral_inspected_dairy_cows,us_livestock_fedral_inspected_bulls and stags,us_livestock_fedral_inspected_calves,us_commercial_avg_live_cattle,us_commercial_avg_live_calves,us_fed_avg_live_cattle,us_fed_avg_live_calves,us_fed_avg_dressed_cattle,us_fed_avg_dressed_steers,us_fed_avg_dressed_heifers,us_fed_avg_dressed_cows,us_fed_avg_dressed_bulls and stags,us_fed_avg_dressed_calves,us_cold_storage_beef,us_cold_storage_veal,us_veganism,us_beef,us_veganism_trend_ratio,total_us_imports,us_imports_from_aus,import_ratio
1/1/2008,14,48.9,31.1,21016.1,722.7,20.5,177.7,120,57.2,27321,2537,24784,20.5,79.1,95.9,137320,162354,1278,1882,358,3656532.167,380919,0,4,-1,68.3,26.1,18.1,1.19,1.26,69.2,8,5.18,9.38,17.83,302750,33131,2232.7,11.3,4417.7,2199.4,11,4368.1,3839.97,8208.07,2899.4,1415.89,883.04,314.64,240,45.82,71.5,203.58,9.62,2847.4,1390.6,867.2,309,235.7,45,70.4,1291,269,1294,267,775,832,773,624,878,159,482.51,7.46,33,34,0.49,"216,399.27",63636.47,0.29
2/1/2008,14,48.9,31.1,21060.4,722.7,20.5,177.7,120,57.2,27321,2537,24784,20.5,79.1,95.9,167415,164260,1237,1807,358,3656532.167,380251.9167,0,4,-1,68.3,26.1,18.1,-0.17,-1.12,103.7,8,5.18,9.38,17.83,302970,33044.75,2038.6,11,3967.4,2009.6,10.8,3923.3,3482.89,7406.19,2642.7,1295.97,832.41,255.12,218,41.2,69.1,202.57,9.03,2597.9,1274.1,818.3,250.8,214.3,40.5,67.9,1285,272,1287,270,776,827,773,631,885,160,450.78,6.59,49,33,0.6,"190,150.20",27728.88,0.15
3/1/2008,14,48.9,31.1,21104.6,722.7,20.5,177.7,120,57.2,27321,2537,24784,20.5,79.1,95.9,176334,180473,1422,1779,358,3656532.167,379584.8333,0,4,-1,68.3,26.1,18.1,0.05,0.79,35.6,8,5.18,9.38,17.83,303190,32958.5,2100.5,11.3,4089.8,2071.4,11.1,4045.6,3523.75,7569.35,2728.3,1348.49,851.35,262.2,218.68,47.58,71,220.3,10.3,2683.6,1326.4,837.4,257.9,215.1,46.8,69.9,1276,273,1278,271,775,828,766,627,896,160,436.55,6.11,40,40,0.5,"231,715.87",47549.67,0.21
4/1/2008,12.6,39.4,21.7,21148.9,722.7,20.5,177.7,120,57.2,27321,2537,24784,20.5,79.1,95.9,197616,183962,2284,1990,358,3656532.167,378917.75,0,4,-1,68.3,26.1,18.1,-1.09,0.21,12.9,8,5.18,9.38,17.83,303380,32872.25,2255.4,11.9,4298.2,2224.5,11.7,4251.3,3773.93,8025.23,2961.1,1519.27,879.51,286.8,222.67,52.85,73.3,210.09,11.11,2913.6,1495,865.4,282.2,219.1,52,72.2,1259,278,1261,276,766,817,753,621,893,164,426.71,5.75,32,27,0.54,"209,012.86",55514.12,0.27
5/1/2008,12.6,39.4,21.7,21182.3,722.7,20.5,177.7,120,57.2,27321,2537,24784,20.5,79.1,95.9,200071,182566,2143,2002,358,3656532.167,378250.6667,0,4,-1,68.3,26.1,18.1,-0.81,1.48,7.9,8,5.18,9.38,17.83,303620,32786,2380.1,11.5,4222,2351.2,11.2,4178.6,3743.49,7922.09,3139.6,1677.63,891.06,319.74,197.51,53.66,71,194.72,12.08,3095,1653.8,878.4,315.2,194.7,52.9,70,1251,275,1253,274,762,814,744,609,902,162,416.35,6.33,25,26,0.49,"229,374.04",60735.05,0.26
6/1/2008,12.6,39.4,21.7,21215.8,722.7,20.5,177.7,120,57.2,27321,2537,24784,20.5,79.1,95.9,173260,178986,2068,2097,358,3656532.167,377583.5833,0,4,-1,68.3,26.1,18.1,1,0.97,23.2,8,5.18,9.38,17.83,303850,32699.75,2263.4,11.7,4050,2234.2,11.5,4006.2,3658.13,7664.33,2956.6,1577.15,832.64,309.09,183.69,54.02,75.3,181.01,11.39,2911.7,1553.1,820,304.4,180.9,53.2,74.2,1261,267,1263,265,770,826,751,603,905,157,420.37,6.28,50,26,0.66,"222,290.84",51688.31,0.23
7/1/2008,12.1,46.3,28,21249.2,715.4,20.7,177.1,123.8,52.8,27907,2612,25295,23.7,102.6,95.9,184630,173259,2583,2037,358,3656532.167,376916.5,0,4,-1,72.3,28.3,18,-0.01,0.78,21.7,8,5.18,9.38,17.83,304090,32613.5,2371.6,12.3,4250.1,2341.9,12.1,4204.3,3833.74,8038.04,3062.5,1603.47,873.65,315.98,211.64,57.76,87.9,195.73,11.37,3017.1,1579.6,860.7,311.3,208.5,56.9,86.7,1273,243,1275,241,779,840,764,600,897,141,428.12,5.94,22,28,0.44,"202,946.70",48617.19,0.24
8/1/2008,12.1,46.3,28,21288.1,715.4,20.7,177.1,123.8,52.8,27907,2612,25295,23.7,102.6,95.9,170122,175075,3843,2610,358,3656532.167,376249.4167,0,4,-1,72.3,28.3,18,-1.08,-0.8,10.9,8,5.18,9.38,17.83,304360,32527.25,2266.8,11.2,4095.2,2238.8,11,4050.2,3644.53,7694.73,2908.3,1471.15,848.69,298.9,229.68,59.88,79.2,188.9,11.3,2865.5,1449.4,836.2,294.5,226.3,59,78.1,1284,245,1286,243,784,850,774,600,892,143,430.82,4.72,40,25,0.62,"195,240.16",47860.74,0.25
9/1/2008,12.1,46.3,28,21327.1,715.4,20.7,177.1,123.8,52.8,27907,2612,25295,23.7,102.6,95.9,178805,174782,2734,2047,358,3656532.167,375582.3333,0,4,-1,72.3,28.3,18,1.29,1.47,18,8,5.18,9.38,17.83,304610,32441,2269.9,12.8,4272.9,2239,12.5,4225.2,3724.66,7949.86,2889.4,1445.56,848.91,308.09,227.15,59.69,87.4,211.37,12.33,2841.7,1421.8,834.9,303,223.4,58.7,86.1,1297,251,1300,248,790,859,786,598,890,146,441.15,5.98,31,28,0.53,"186,068.07",46150.95,0.25
10/1/2008,13.3,44.1,24.3,21366,715.4,20.7,177.1,123.8,52.8,27907,2612,25295,23.7,102.6,95.9,209563,189639,2364,2051,358,3656532.167,374915.25,0,4,-1,72.3,28.3,18,1.33,1.76,14,8,5.18,9.38,17.83,304860,32354.75,2340.9,13.5,4529.3,2305.4,13.2,4476.9,3913.67,8390.57,2989.1,1423.63,915.15,353.49,240.69,56.15,95.6,214.43,10.87,2933.4,1397,898.1,346.9,236.2,55.1,93.9,1303,244,1306,241,789,860,795,597,866,142,454.52,7.9,25,32,0.44,"182,821.60",60010.99,0.33
