,features,importance
37,us_production_commercial_beef,0.016494378
30,aus_avg_rainfall,0.012603275
14,us import of beef kt (cw),0.007845964
12,"aus_exports of beef, veal and live cattle to US",0.0077072713
31,us cattle numbers(*1000),0.0073974314
75,us_veganism_trend_ratio,0.0066430364
39,us_production_commercial_total red meat,0.0063043735
0,aus_population_natural_increase,0.0061975583
4,aus_beef&veal_slaughterings,0.0051105977
48,us_livestock_commercial_beef,0.0050235027
58,us_livestock_fedral_inspected_dairy_cows,0.004730164
19,aus_labour,0.004650961
10,aus_total dairy cattle and calves,0.0045792516
68,us_fed_avg_dressed_cows,0.0040637287
71,us_cold_storage_beef,0.00369678
8,aus_apparent consumption,0.0034874966
56,us_livestock_fedral_inspected_heifers,0.0032608304
52,us_livestock_commercial_lambs and yearlings,0.0032376032
29,aus_max_temp,0.0031351831
50,us_livestock_commercial_bulls and stags,0.0027936595
43,us_production_fedral_inspected_total poultry,0.002640087
21,aus_pasture,0.0025738776
70,us_fed_avg_dressed_calves,0.0025208758
65,us_fed_avg_dressed_cattle,0.0023476325
40,us_production_fedral_inspected_beef,0.0023096518
28,aus_min_temp,0.002063745
66,us_fed_avg_dressed_steers,0.0020260718
25,aus_fed_rd,0.0019958687
15,aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Original (tonnes),0.001993088
17,aus_Meat Produced ;  CALVES ;  Total (State) ;,0.0019462109
73,us_veganism,0.001866056
49,us_livestock_commercial_dairy,0.0018566182
2,aus_population_net overseas migration,0.0018368991
62,us_commercial_avg_live_calves,0.0018201647
67,us_fed_avg_dressed_heifers,0.0017306017
57,us_livestock_fedral_inspected_beef,0.0016996786
1,aus_population_overseas_arrivals,0.0016975744
6,aus_beef&veal_production,0.0016885045
44,us_production_fedral_inspected_total red meat and poultry,0.0016833002
20,aus_feed,0.0016791573
55,us_livestock_fedral_inspected_steers,0.0015273105
53,us_livestock_commercial_mature sheep,0.001450954
38,us_production_commercial_veal,0.0013431289
54,us_livestock_fedral_inspected_cattle,0.0013150204
51,us_livestock_commercial_calves,0.0011632297
16,aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Seasonally adjusted (tonnes),0.0011456818
26,aus_state_rd,0.00086126104
72,us_cold_storage_veal,0.00073606893
32,us beef Per Capita Consumption,0.0006866231
9,australia cattle numbers,0.0005715279
74,us_beef,0.0005056812
61,us_commercial_avg_live_cattle,0.00049498555
64,us_fed_avg_live_calves,0.00043071687
42,us_production_fedral_inspected_total red meat,0.00030069918
45,us_livestock_commercial_cattle,0.0002596772
18,aus_Meat Produced ;  CALVES ;  Total (State) ; Seasonally Adjusted,0.0002343232
46,us_livestock_commercial_steers,0.00017175684
33,us_total red meat,0.0
34,us_total red meat and poultry,0.0
11,aus_total beef cattle and calves,0.0
7,aus_beef&veal_exports,0.0
13,"Value of Australian exports of beef and veal, and live cattle to US ",0.0
69,us_fed_avg_dressed_bulls and stags,0.0
47,us_livestock_commercial_heifers,0.0
22,aus_tse,0.0
23,aus_pse,0.0
3,aus_population_estimated resident population,0.0
63,us_fed_avg_live_cattle,0.0
24,aus_cse,0.0
36,us_income per capita,0.0
60,us_livestock_fedral_inspected_calves,0.0
41,us_production_fedral_inspected_veal,0.0
35,us_population,0.0
27,aus_uni_rd,0.0
5,aus_beef&veal_average weight,0.0
59,us_livestock_fedral_inspected_bulls and stags,0.0
